UULID	segments	vowels	monophtongs	diphtongs	triphtongs	heights.v	lengths.v	long.v	nasal.v	round.v	high.v	mid.v	low.v	front.v	back.v	tense.v	lax.v	atr.v	rtr.v	raised.v	retracted.v	fronted.v	glottalized.v	laryngealized.v	unique.v	unique.nasal.v	heights_mono.v	heights_di.v	heights_tri.v	lengths_mono.v	lengths_di.v	lengths_tri.v	long_mono.v	long_di.v	long_tri.v	nasal_mono.v	nasal_di.v	nasal_tri.v	round_mono.v	round_di.v	round_tri.v	high_mono.v	high_di.v	high_tri.v	mid_mono.v	mid_di.v	mid_tri.v	low_mono.v	low_di.v	low_tri.v	front_mono.v	front_di.v	front_tri.v	back_mono.v	back_di.v	back_tri.v	tense_mono.v	tense_di.v	tense_tri.v	lax_mono.v	lax_di.v	lax_tri.v	atr_mono.v	atr_di.v	atr_tri.v	rtr_mono.v	rtr_di.v	rtr_tri.v	raised_mono.v	raised_di.v	raised_tri.v	retracted_mono.v	retracted_di.v	retracted_tri.v	fronted_mono.v	fronted_di.v	fronted_tri.v	glottalized_mono.v	glottalized_di.v	glottalized_tri.v	laryngealized_mono.v	laryngealized_di.v	laryngealized_tri.v	unique_mono.v	unique_di.v	unique_tri.v	unique.nasal_mono.v	unique.nasal_di.v	unique.nasal_tri.v	consonants	places.c	bilabial.c	labiodental.c	double_articulated.c	dental.c	alveolar.c	dental_alveolar.c	palatoalveolar.c	alveolopalatal.c	postalveolar.c	true_retroflex.c	palatal.c	velar.c	uvular.c	pharyngeal_epiglottal.c	glottal.c	labial.c	coronal.c	dorsal.c	guttural.c	manners.c	obstruent.c	voiced_obstruent.c	voiceless_obstruent.c	aspirated_obstruent.c	glottalized_obstruent.c	stop.c	voiced_stop.c	voiceless_stop.c	aspirated_stop.c	glottalized_stop.c	fricative.c	voiced_fricative.c	voiceless_fricative.c	affricate.c	sonorant.c	voiced_sonorant.c	voiceless_sonorant.c	glottalized_resonant.c	nasal.c	approximant.c	tapflap.c	trill.c	trill_tap.c	coronal_trill_tap.c	second_articulation.c	glottalized.c	uvt.c	uvt.stops.c	uvt.fricatives.c	uvt.affricates.c	uvt.nasals.c	uvt.approximants.c	lvt.c	lvt.stops.c	lvt.fricatives.c	lvt.affricates.c	lvt.nasals.c	lvt.approximants.c	ratio.voiced.voiceless.obstruents	ratio.voiced.voiceless.stops	ratio.obstruents.sonorants	egressive	implosive	ejective	click	voiceless	voiced	breathy	creaky	tones	level_tones	contour_tones	bilabial.fricatives	labiodental.fricatives	alveolar.fricatives	nonsibilant.dental.fricatives	sibilant.dental.fricatives	bilabiallabiodental.affricates	bilabial.affricates	retroflex.stops	retroflex.fricatives	retroflex.affricates	retroflex.nasals	retroflex.approximants
[i-bdc][w-][a-][g-embe1259]	33	12	12	0	0	3	1	0	6	4	6	4	2	6	4	10	2	0	0	2	0	6	0	0	6	6	3	0	0	1	0	0	0	0	0	6	0	0	4	0	0	6	0	0	4	0	0	2	0	0	6	0	0	4	0	0	10	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	6	0	0	21	6	6	0	0	0	9	9	1	0	0	0	1	3	0	0	1	6	10	4	1	5	14	5	9	3	2	10	4	6	3	2	3	1	2	1	7	7	0	0	2	5	1	1	2	2	1	2	5	3	2	1	2	3	1	0	1	0	0	0	0.555555555555556	0.666666666666667	2	31	2	0	0	9	24	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
[i-bde][w-bad][a-984][g-bade1248]	42	9	9	0	0	3	2	5	0	3	5	2	2	5	3	7	2	0	0	2	0	5	0	0	6	0	3	0	0	2	0	0	5	0	0	0	0	0	3	0	0	5	0	0	2	0	0	2	0	0	5	0	0	3	0	0	7	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	33	8	4	2	0	0	10	10	3	0	0	1	3	6	0	4	0	6	14	9	4	5	22	11	11	0	3	11	7	4	0	3	9	3	6	2	10	10	0	0	4	6	0	1	1	1	6	4	7	4	3	1	4	3	1	0	1	0	0	1	1	1.75	2.2	42	4	0	0	11	35	0	0	4	2	2	0	2	4	0	0	0	0	1	0	0	0	0
[i-bdh][w-bka][a-986][g-baka1274]	46	10	10	0	0	5	1	0	0	4	4	4	2	5	4	4	6	0	0	2	0	5	0	0	10	0	5	0	0	1	0	0	0	0	0	0	0	0	4	0	0	4	0	0	4	0	0	2	0	0	5	0	0	4	0	0	4	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0	36	12	5	3	2	1	9	10	2	2	0	1	2	6	0	2	1	10	15	8	3	5	25	12	13	0	2	12	8	4	0	2	10	3	7	3	11	11	0	0	4	7	2	1	3	2	1	2	8	4	5	1	4	4	2	0	2	0	0	1	0.923076923076923	2	2.27272727272727	44	2	0	0	13	33	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0
[i-bdi][w-][a-][g-buru1301]	35	16	16	0	0	4	2	8	0	6	8	6	2	8	8	4	12	0	0	4	0	8	0	0	7	0	4	0	0	2	0	0	8	0	0	0	0	0	6	0	0	8	0	0	6	0	0	2	0	0	8	0	0	8	0	0	4	0	0	12	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	19	7	3	0	0	2	6	8	1	0	0	0	2	4	0	0	1	3	9	6	1	4	11	5	6	0	1	7	3	4	0	1	4	2	2	0	8	8	0	0	4	4	0	1	1	1	1	1	6	3	3	0	4	3	1	1	0	0	0	0	0.833333333333333	0.75	1.375	37	1	0	0	6	32	0	0	3	2	1	0	0	1	2	0	0	0	0	0	0	0	0
[i-bdl][w-baj][a-988][g-indo1317]	32	6	6	0	0	4	1	0	0	2	2	3	1	3	2	4	1	0	0	1	0	3	0	0	6	0	4	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	1	0	0	3	0	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	26	7	5	0	0	8	1	9	3	0	1	0	2	5	0	0	2	5	12	7	2	5	18	6	12	0	0	11	4	7	0	0	3	0	3	4	8	8	0	0	4	4	0	1	1	1	1	0	7	3	1	3	4	3	1	1	1	0	0	0	0.5	0.571428571428571	2.25	32	0	0	0	12	20	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
[i-bdr][w-bwc][a-3141][g-west2560]	23	6	6	0	0	4	1	0	0	2	2	3	1	3	2	4	1	0	0	1	0	3	0	0	6	0	4	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	1	0	0	3	0	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	17	7	3	0	0	4	2	6	1	0	0	0	2	4	0	0	1	3	7	6	1	5	9	4	5	0	0	7	3	4	0	0	1	0	1	1	8	8	0	0	4	4	0	1	1	1	1	0	6	3	1	1	4	4	1	1	0	0	0	0	0.8	0.75	1.125	23	0	0	0	5	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
[i-bdu][w-bkn-ldo][a-2162-992][g-orok1266]	29	7	7	0	0	4	1	0	0	3	2	4	1	4	3	4	3	0	0	1	0	4	0	0	7	0	4	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	4	0	0	1	0	0	4	0	0	3	0	0	4	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	22	7	4	0	2	0	7	7	2	0	1	1	2	4	0	0	0	6	10	6	0	5	14	8	6	0	0	10	6	4	0	0	1	0	1	3	8	8	0	0	4	4	1	0	1	1	1	0	7	3	1	3	4	4	0	0	0	0	0	0	1.33333333333333	1.5	1.75	29	0	0	0	6	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
[i-bdy][w-bca-bnj-bwa-byu-gid][a-1229-1230-1231-1232-660][g-band1339]	16	4	4	0	0	3	1	0	0	1	2	1	1	3	1	3	1	0	0	1	0	3	0	0	4	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	3	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	12	5	2	0	0	0	5	5	1	0	1	0	1	3	0	0	0	2	6	4	0	4	4	4	0	0	0	3	3	0	0	0	0	0	0	1	8	8	0	0	4	4	0	1	1	1	1	0	6	3	0	1	4	3	0	0	0	0	0	0	NA	NA	0.5	16	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[i-beg][w-][a-][g-bela1260]	25	6	5	1	0	4	1	0	0	2	3	3	1	4	2	5	1	0	0	1	0	4	0	0	8	0	3	2	0	1	1	0	0	0	0	0	0	0	2	0	0	2	1	0	2	1	0	1	0	0	3	1	0	2	0	0	4	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	5	4	0	0	0	0	19	6	3	0	0	0	5	5	0	0	0	0	4	4	1	0	2	3	5	9	2	4	12	5	7	0	0	9	4	5	0	0	3	1	2	0	7	7	0	0	4	3	0	0	0	0	1	0	4	4	1	0	4	3	2	1	2	0	0	0	0.714285714285714	0.8	1.71428571428571	25	0	0	0	7	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
[i-beh][w-][a-][g-bial1238]	24	10	10	0	0	4	1	0	4	3	4	4	2	5	3	6	2	0	0	2	0	5	0	0	6	4	4	0	0	1	0	0	0	0	0	4	0	0	3	0	0	4	0	0	4	0	0	2	0	0	5	0	0	3	0	0	6	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	4	0	0	14	6	3	1	0	0	6	6	0	0	0	0	1	2	0	0	1	4	6	3	1	4	8	2	6	0	0	5	2	3	0	0	3	0	3	0	6	6	0	0	2	4	1	0	1	1	1	0	5	3	2	0	2	3	1	0	1	0	0	0	0.333333333333333	0.666666666666667	1.33333333333333	27	0	0	0	6	21	0	0	3	3	0	0	1	1	0	0	0	0	0	0	0	0	0
