UULID	segments	vowels	monophtongs	diphtongs	triphtongs	heights.v	lengths.v	long.v	nasal.v	round.v	high.v	mid.v	low.v	front.v	back.v	tense.v	lax.v	atr.v	rtr.v	raised.v	retracted.v	fronted.v	glottalized.v	laryngealized.v	unique.v	unique.nasal.v	heights_mono.v	heights_di.v	heights_tri.v	lengths_mono.v	lengths_di.v	lengths_tri.v	long_mono.v	long_di.v	long_tri.v	nasal_mono.v	nasal_di.v	nasal_tri.v	round_mono.v	round_di.v	round_tri.v	high_mono.v	high_di.v	high_tri.v	mid_mono.v	mid_di.v	mid_tri.v	low_mono.v	low_di.v	low_tri.v	front_mono.v	front_di.v	front_tri.v	back_mono.v	back_di.v	back_tri.v	tense_mono.v	tense_di.v	tense_tri.v	lax_mono.v	lax_di.v	lax_tri.v	atr_mono.v	atr_di.v	atr_tri.v	rtr_mono.v	rtr_di.v	rtr_tri.v	raised_mono.v	raised_di.v	raised_tri.v	retracted_mono.v	retracted_di.v	retracted_tri.v	fronted_mono.v	fronted_di.v	fronted_tri.v	glottalized_mono.v	glottalized_di.v	glottalized_tri.v	laryngealized_mono.v	laryngealized_di.v	laryngealized_tri.v	unique_mono.v	unique_di.v	unique_tri.v	unique.nasal_mono.v	unique.nasal_di.v	unique.nasal_tri.v	consonants	places.c	bilabial.c	labiodental.c	double_articulated.c	dental.c	alveolar.c	dental_alveolar.c	palatoalveolar.c	alveolopalatal.c	postalveolar.c	true_retroflex.c	palatal.c	velar.c	uvular.c	pharyngeal_epiglottal.c	glottal.c	labial.c	coronal.c	dorsal.c	guttural.c	manners.c	obstruent.c	voiced_obstruent.c	voiceless_obstruent.c	aspirated_obstruent.c	glottalized_obstruent.c	stop.c	voiced_stop.c	voiceless_stop.c	aspirated_stop.c	glottalized_stop.c	fricative.c	voiced_fricative.c	voiceless_fricative.c	affricate.c	sonorant.c	voiced_sonorant.c	voiceless_sonorant.c	glottalized_resonant.c	nasal.c	approximant.c	tapflap.c	trill.c	trill_tap.c	coronal_trill_tap.c	second_articulation.c	glottalized.c	uvt.c	uvt.stops.c	uvt.fricatives.c	uvt.affricates.c	uvt.nasals.c	uvt.approximants.c	lvt.c	lvt.stops.c	lvt.fricatives.c	lvt.affricates.c	lvt.nasals.c	lvt.approximants.c	ratio.voiced.voiceless.obstruents	ratio.voiced.voiceless.stops	ratio.obstruents.sonorants	egressive	implosive	ejective	click	voiceless	voiced	breathy	creaky	tones	level_tones	contour_tones	bilabial.fricatives	labiodental.fricatives	alveolar.fricatives	nonsibilant.dental.fricatives	sibilant.dental.fricatives	bilabiallabiodental.affricates	bilabial.affricates	retroflex.stops	retroflex.fricatives	retroflex.affricates	retroflex.nasals	retroflex.approximants
[i-sku][w-sak][a-2439][g-saka1289]	27	12	12	0	0	5	1	0	0	6	4	6	2	7	4	7	5	0	0	1	1	7	0	0	9	0	5	0	0	1	0	0	0	0	0	0	0	0	6	0	0	4	0	0	6	0	0	2	0	0	7	0	0	4	0	0	7	0	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	7	0	0	0	0	0	0	0	0	9	0	0	0	0	0	15	6	3	0	0	1	5	6	0	0	0	0	1	4	0	0	1	3	6	5	1	4	8	3	5	0	0	3	0	3	0	0	5	3	2	0	7	7	0	0	3	4	1	0	1	1	1	0	5	3	4	0	3	3	1	0	1	0	0	0	0.6	0	1.14285714285714	27	0	0	0	5	22	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
[i-skv][w-sko][a-2440-2849][g-nucl1634]	21	9	9	0	0	4	1	0	0	5	3	5	1	6	3	6	3	0	0	1	0	6	0	0	7	0	4	0	0	1	0	0	0	0	0	0	0	0	5	0	0	3	0	0	5	0	0	1	0	0	6	0	0	3	0	0	6	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	0	0	12	6	3	1	0	0	3	3	0	0	0	0	1	3	0	0	1	4	3	4	1	4	6	1	5	0	0	4	1	3	0	0	2	0	2	0	6	6	0	0	3	3	0	0	0	0	1	0	5	3	1	0	3	3	1	0	1	0	0	0	0.2	0.333333333333333	1	21	0	0	0	5	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
[i-slk][w-svk][a-2444][g-slov1269]	26	6	6	0	0	4	1	0	0	2	2	2	2	4	2	4	2	0	0	1	0	4	0	0	6	0	4	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	2	0	0	4	0	0	2	0	0	4	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	20	7	3	1	0	0	8	8	3	0	0	0	1	3	0	0	1	4	11	4	1	5	16	7	9	0	0	6	3	3	0	0	7	2	5	3	4	4	0	0	2	2	0	0	0	0	0	0	6	3	4	2	2	2	1	0	1	0	0	0	0.777777777777778	1	4	26	0	0	0	9	17	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
[i-sll][w-syu][a-345][g-salt1242]	19	5	5	0	0	3	1	0	0	2	2	2	1	3	2	4	1	0	0	1	0	3	0	0	5	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	1	0	0	3	0	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	14	5	3	0	0	0	5	5	0	0	0	0	1	4	0	0	1	3	5	5	1	4	8	3	5	0	0	6	3	3	0	0	2	0	2	0	6	6	0	0	3	3	0	0	0	0	1	0	4	3	1	0	3	3	1	0	1	0	0	0	0.6	1	1.33333333333333	19	0	0	0	5	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
[i-slr][w-slr][a-2445][g-sala1264]	29	8	8	0	0	3	1	0	0	4	4	3	1	4	4	7	1	0	0	2	1	4	0	0	5	0	3	0	0	1	0	0	0	0	0	0	0	0	4	0	0	4	0	0	3	0	0	1	0	0	4	0	0	4	0	0	7	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	21	8	3	1	0	0	7	7	1	0	0	0	1	4	3	0	1	4	8	8	1	4	15	0	15	5	0	8	0	8	5	0	7	0	7	0	6	6	0	0	3	3	0	0	0	0	1	0	6	3	4	0	3	2	2	1	2	0	0	0	0	0	2.5	29	0	0	0	15	14	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
[i-slv][w-slo][a-2447][g-slov1268]	23	6	6	0	0	4	1	0	0	2	2	3	1	3	2	4	1	0	0	1	0	3	0	0	6	0	4	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	1	0	0	3	0	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	17	6	3	1	0	0	7	7	2	0	0	0	1	3	0	0	0	4	9	4	0	5	13	5	8	0	0	6	3	3	0	0	6	2	4	1	4	4	0	0	2	2	0	0	0	0	0	0	6	3	4	1	2	2	0	0	0	0	0	0	0.625	1	3.25	23	0	0	0	8	15	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
[i-sma][w-scs][a-701][g-sout2674]	25	6	6	0	0	3	1	0	0	3	3	2	1	4	2	5	1	0	0	1	0	4	0	0	5	0	3	0	0	1	0	0	0	0	0	0	0	0	3	0	0	3	0	0	2	0	0	1	0	0	4	0	0	2	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	19	7	3	1	0	0	8	8	2	0	0	0	1	3	0	0	1	4	10	4	1	5	13	5	8	0	0	6	3	3	0	0	4	0	4	3	6	6	0	0	4	2	0	0	0	0	0	0	6	3	3	2	3	2	1	0	1	0	0	0	0.625	1	2.16666666666667	25	0	0	0	8	17	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
[i-smb][w-][a-][g-simb1255]	21	7	7	0	0	4	1	0	0	2	3	3	1	3	2	5	1	0	0	1	0	3	0	0	7	0	4	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	3	0	0	1	0	0	3	0	0	2	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	14	5	3	0	0	0	4	4	0	0	0	0	1	5	0	0	1	3	4	6	1	3	7	3	4	0	0	7	3	4	0	0	0	0	0	0	7	7	0	0	3	4	0	0	0	0	1	0	4	3	0	0	3	3	1	1	0	0	0	0	0.75	0.75	1	21	0	0	0	4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[i-sme][w-sno][a-700][g-nort2671]	24	4	4	0	0	3	1	0	0	2	2	1	1	2	2	3	1	0	0	1	0	2	0	0	4	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	1	0	0	2	0	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	20	8	3	1	0	2	8	10	1	0	0	0	1	3	0	0	1	4	11	4	1	5	14	1	13	4	0	6	0	6	4	0	6	1	5	2	6	6	0	0	4	2	0	0	0	0	0	0	7	3	4	1	3	2	1	0	1	0	0	0	0.0769230769230769	0	2.33333333333333	24	0	0	0	13	11	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0
[i-smo][w-sam][a-346][g-samo1305]	15	5	5	0	0	3	1	0	0	2	2	3	0	2	2	0	4	0	0	1	0	2	0	0	5	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	10	5	2	1	0	0	4	4	0	0	0	0	0	2	0	0	1	3	4	2	1	4	6	0	6	0	0	4	0	4	0	0	2	0	2	0	4	4	0	0	3	1	0	0	0	0	0	0	4	3	2	0	3	1	1	1	0	0	0	0	0	0	1.5	15	0	0	0	6	9	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
