*Version 1.0 of the SI datasets 1-3 - created by SR and NC, January 6, 2015

The columns give the following information, as indicated by the header row label:
(1) Column: column number in SI dataset 1
(2) Phoneme: phoneme presented in Unicode
(3) Number_of_occurrences: frequency with which the phoneme is observed across 2082 languages in SI dataset 1
(4) Consonant: a boolean indicator; 1 indicates the phoneme in column (2) is a consonant
(5) Vowel: a boolean indicator; 1 indicates the phoneme in column (2) is a vowel
(6) Modified_consonant: 1 indicates the phoneme in column (2) is a modified consonant
(7) Modified_Vowel: 1 indicates the phoneme in column (2) is a modified consonants
(8) Click: 1 indicates the phoneme in column (2) is a click

Columns 6-8 in SI dataset 2 were used for some regression analyses (See SI Appendix section 3.2 and Table S8 for more information). See SI Appendix section 1.2 ``Modified consonants and modified vowels'' for more details about columns 6 and 7.


Column	Phoneme	Number_of_occurrences	Consonant	Vowel	Modified_consonant	Modified_Vowel	Click
566	ʄ	17	1	0	0	0	0
567	k^	2	1	0	0	0	0
568	ᵈt̪ˣ	1	1	0	0	0	0
569	tʰ	322	1	0	0	0	0
570	dˀ	5	1	0	0	0	0
571	ɟ̤	3	1	0	0	0	0
572	ᶢkʰ	2	1	0	0	0	0
573	pː	1	1	0	0	0	0
574	dʲ	8	1	0	0	0	0
575	ɡ^	2	1	0	0	0	0
576	ɡb	165	1	0	0	0	0
577	pʱ	1	1	0	0	0	0
578	ɡd	1	1	0	0	0	0
579	tˣˀ	2	1	0	0	0	0
580	kp	172	1	0	0	0	0
581	ⁿd	174	1	0	0	0	0
582	kt	1	1	0	0	0	0
583	ⁿḍ	7	1	0	0	0	0
584	ɗ̤	1	1	0	0	0	0
585	ᴺG	2	1	0	0	0	0
586	ḍˀ	1	1	0	0	0	0
587	qʰ	28	1	0	0	0	0
588	d̤̣	36	1	0	0	0	0
589	d̪	38	1	0	0	0	0
590	ɡːʷ	1	1	0	0	0	0
591	bˀ	2	1	0	0	0	0
592	ʔʷ	3	1	0	0	0	0
593	tː	3	1	0	0	0	0
594	qˀʷ	33	1	0	0	0	0
595	ⁿtʰ	1	1	0	0	0	0
596	ⁿt	2	1	0	0	0	0
597	pʰ	283	1	0	0	0	0
598	ᵑɡ	164	1	0	0	0	0
599	dˣ	1	1	0	0	0	0
600	ⁿdʲ	3	1	0	0	0	0
601	t̯	48	1	0	0	0	0
602	ɓ	138	1	0	0	0	0
603	d̰	1	1	0	0	0	0
604	ˀb	42	1	0	0	0	0
605	ɓ̤	1	1	0	0	0	0
606	ɟ	205	1	0	0	0	0
607	ˀd	22	1	0	0	0	0
608	kˀ	225	1	0	0	0	0
609	cˣ	7	1	0	0	0	0
610	ɡʷ	61	1	0	0	0	0
611	pˀkˣˀ	1	1	0	0	0	0
612	bʷ	7	1	0	0	0	0
613	ˀk	1	1	0	0	0	0
614	qᶛ	1	1	0	0	0	0
615	ʰd	1	1	0	0	0	0
616	ɗ̣	20	1	0	0	0	0
617	qʰʷ	3	1	0	0	0	0
618	ͫb	171	1	0	0	0	0
619	ᵑͫɡb	5	1	0	0	0	0
620	ˀp	1	1	0	0	0	0
621	ᵇpʰ	1	1	0	0	0	0
622	ʰk	3	1	0	0	0	0
623	t̪ᵚ	1	1	0	0	0	0
624	ˀt	2	1	0	0	0	0
625	tʲ	9	1	0	0	0	0
626	cˀ	13	1	0	0	0	0
627	tˀ	228	1	0	0	0	0
628	ṭ	222	1	0	0	0	0
629	ᵑkʷ	0	1	0	0	0	0
630	ʰp	3	1	0	0	0	0
631	d̤	49	1	0	0	0	0
632	ḍ̰	1	1	0	0	0	0
633	ʰt	3	1	0	0	0	0
634	ͫp	2	1	0	0	0	0
635	ͫbʷ	1	1	0	0	0	0
636	ˀɟ	3	1	0	0	0	0
637	b̰	1	1	0	0	0	0
638	d̯	21	1	0	0	0	0
639	ɠ	14	1	0	0	0	0
640	kʰ	310	1	0	0	0	0
641	b	1347	1	0	0	0	0
642	c	305	1	0	0	0	0
643	d	1310	1	0	0	0	0
644	kʰʷ	18	1	0	0	0	0
645	ⁿ̃ɟ	20	1	0	0	0	0
646	ʔʰ	1	1	0	0	0	0
647	ˀd̪	1	1	0	0	0	0
648	k	2032	1	0	0	0	0
649	tp	0	1	0	0	0	0
650	ɠ̤	1	1	0	0	0	0
651	tˣ	13	1	0	0	0	0
652	b̤	47	1	0	0	0	0
653	ḍ	161	1	0	0	0	0
654	pʷ	5	1	0	0	0	0
655	kː	2	1	0	0	0	0
656	ṭˀ	14	1	0	0	0	0
657	p	1843	1	0	0	0	0
658	q	236	1	0	0	0	0
659	ᵑk	4	1	0	0	0	0
660	G	23	1	0	0	0	0
661	t	2035	1	0	0	0	0
662	ɡ	1225	1	0	0	0	0
663	ɡbʷ	2	1	0	0	0	0
664	kpʷ	2	1	0	0	0	0
665	ͫpʰ	3	1	0	0	0	0
666	Gʷ	2	1	0	0	0	0
667	pˀ	154	1	0	0	0	0
668	ᵈtʰ	2	1	0	0	0	0
669	bd	1	1	0	0	0	0
670	ɡˀ	1	1	0	0	0	0
671	ɓʷ	2	1	0	0	0	0
672	ᵑkʰ	1	1	0	0	0	0
673	ḍː	1	1	0	0	0	0
674	ṭʰ	75	1	0	0	0	0
675	d̪̤	1	1	0	0	0	0
676	ʔ˜	1	1	0	0	0	0
677	ɡʲ	3	1	0	0	0	0
678	t̯ʰ	1	1	0	0	0	0
679	t̪ˀ	1	1	0	0	0	0
680	kʲ	14	1	0	0	0	0
681	cː	2	1	0	0	0	0
682	t̪ʰ	2	1	0	0	0	0
683	bᵚ	1	1	0	0	0	0
684	tʱ	1	1	0	0	0	0
685	cʰ	34	1	0	0	0	0
686	ʔʲ	1	1	0	0	0	0
687	ⁿd̪	1	1	0	0	0	0
688	ᵑɡʷ	6	1	0	0	0	0
689	ɡ̤ʷ	0	1	0	0	0	0
690	qˀ	101	1	0	0	0	0
691	ɡː	1	1	0	0	0	0
692	kˣˀ	2	1	0	0	0	0
693	ˀɗ̣	1	1	0	0	0	0
694	ˀt̪ʰ	2	1	0	0	0	0
695	t̪ʷ	1	1	0	0	0	0
696	kᵚ	1	1	0	0	0	0
697	ɗ	106	1	0	0	0	0
698	kˀʲ	1	1	0	0	0	0
699	ɡ̰	1	1	0	0	0	0
700	kˀʷ	55	1	0	0	0	0
701	pt	1	1	0	0	0	0
702	qʷ	45	1	0	0	0	0
703	bɗ	0	1	0	0	0	0
704	ⁿ̯d̯	1	1	0	0	0	0
705	ⁿɾ	1	1	0	0	0	0
706	ř	3	1	0	0	0	0
707	ṛ	57	1	0	0	0	0
708	ɾ̌	1	1	0	0	0	0
709	v̊	14	1	0	0	0	0
710	rˀ	1	1	0	0	0	0
711	B	6	1	0	0	0	0
712	ɾ̣	77	1	0	0	0	0
713	r	1077	1	0	0	0	0
714	ɾ˜	3	1	0	0	0	0
715	ɹ	22	1	0	0	0	0
716	ɹ̥	1	1	0	0	0	0
717	ɹ́	1	1	0	0	0	0
718	r̤	7	1	0	0	0	0
719	ˀr	9	1	0	0	0	0
720	ɾ	465	1	0	0	0	0
721	rᵚ	2	1	0	0	0	0
722	P	2	1	0	0	0	0
723	ɾ̤	2	1	0	0	0	0
724	R	1	1	0	0	0	0
725	ʁ	8	1	0	0	0	0
726	ṛʷ	1	1	0	0	0	0
727	ɹ̣	98	1	0	0	0	0
728	bɹ	1	1	0	0	0	0
729	ɹ̣̥	1	1	0	0	0	0
730	r̪	3	1	0	0	0	0
731	r̥	27	1	0	0	0	0
732	rʲ	4	1	0	0	0	0
733	rᶻ̌	3	1	0	0	0	0
734	ɾ̥	7	1	0	0	0	0
735	ṛ̥	2	1	0	0	0	0
736	ɾ̣̤	6	1	0	0	0	0
737	ˀɾ	4	1	0	0	0	0
